Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
No,Basic,Bachelor,Employed,M,42012,Rural,Married,63,13,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,41,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,56021,Urban,Married,69,20,38,0,2,Personal Auto,Personal L3,Offer1,Agent,280,Four-Door Car,Medsize
No,Extended,High School or Below,Employed,M,35124,Suburban,Married,137,18,46,0,2,Personal Auto,Personal L2,Offer1,Call Center,986,SUV,Large
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,62,4,49,1,1,Personal Auto,Personal L3,Offer1,Agent,439,Four-Door Car,Medsize
No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,125,8,55,0,1,Personal Auto,Personal L2,Offer3,Agent,900,SUV,Medsize
No,Extended,College,Employed,F,37202,Urban,Married,93,30,86,0,1,Personal Auto,Personal L3,Offer3,Branch,323,Two-Door Car,Medsize
No,Basic,College,Employed,M,65985,Rural,Single,71,3,47,5,4,Special Auto,Special L1,Offer2,Agent,42,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,87771,Suburban,Single,74,8,9,4,2,Personal Auto,Personal L3,Offer2,Branch,355,Four-Door Car,Small
No,Basic,College,Employed,F,63624,Urban,Married,115,10,40,2,2,Personal Auto,Personal L3,Offer4,Agent,306,SUV,Medsize
No,Extended,Bachelor,Employed,F,80192,Rural,Married,129,8,69,0,9,Personal Auto,Personal L1,Offer3,Call Center,201,SUV,Large
No,Basic,Bachelor,Employed,M,35945,Suburban,Divorced,105,14,25,0,1,Personal Auto,Personal L3,Offer1,Agent,756,SUV,Small
No,Basic,College,Employed,M,93004,Urban,Married,63,31,2,0,2,Corporate Auto,Corporate L3,Offer1,Branch,206,Four-Door Car,Medsize
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,89,4,24,0,4,Personal Auto,Personal L2,Offer1,Agent,941,Four-Door Car,Medsize
Yes,Extended,College,Employed,F,71210,Suburban,Married,214,8,89,1,2,Personal Auto,Personal L3,Offer1,Branch,1027,Luxury Car,Small
No,Basic,College,Employed,F,99159,Suburban,Married,190,7,14,0,5,Personal Auto,Personal L3,Offer2,Branch,912,Luxury SUV,Large
No,Basic,College,Employed,F,81491,Rural,Divorced,72,21,24,0,3,Personal Auto,Personal L1,Offer3,Agent,62,Four-Door Car,Medsize
No,Basic,Master,Employed,F,99875,Rural,Divorced,108,12,37,0,2,Personal Auto,Personal L3,Offer3,Call Center,115,SUV,Medsize
No,Extended,High School or Below,Employed,F,51705,Urban,Married,139,26,79,0,1,Personal Auto,Personal L3,Offer1,Agent,545,SUV,Medsize
No,Extended,Bachelor,Employed,F,39837,Rural,Married,201,11,63,0,2,Corporate Auto,Corporate L3,Offer1,Web,381,Luxury SUV,Medsize
No,Extended,College,Employed,F,31421,Suburban,Married,81,5,95,0,2,Personal Auto,Personal L3,Offer3,Web,389,Two-Door Car,Medsize
No,Extended,Bachelor,Employed,M,81531,Urban,Married,135,23,50,0,1,Personal Auto,Personal L3,Offer2,Web,420,SUV,Small
Yes,Basic,Bachelor,Employed,F,25134,Suburban,Married,67,3,0,0,6,Corporate Auto,Corporate L2,Offer2,Call Center,322,Four-Door Car,Small
No,Extended,College,Employed,F,37386,Suburban,Married,97,1,4,0,3,Corporate Auto,Corporate L1,Offer1,Branch,466,Four-Door Car,Large
Yes,Basic,College,Unemployed,F,0,Suburban,Divorced,66,16,35,4,1,Corporate Auto,Corporate L3,Offer1,Branch,317,Four-Door Car,Small
No,Basic,College,Employed,F,99553,Rural,Married,68,14,85,0,6,Corporate Auto,Corporate L3,Offer4,Web,112,Four-Door Car,Medsize
No,Premium,Bachelor,Unemployed,F,0,Suburban,Single,161,19,71,0,9,Corporate Auto,Corporate L3,Offer1,Call Center,1159,SUV,Small
No,Basic,High School or Below,Employed,M,70705,Urban,Married,69,31,61,2,6,Personal Auto,Personal L1,Offer1,Agent,272,Two-Door Car,Medsize
No,Basic,College,Employed,F,22724,Rural,Single,69,21,39,0,1,Personal Auto,Personal L1,Offer3,Agent,9,Four-Door Car,Medsize
No,Basic,College,Employed,F,26320,Suburban,Married,111,3,92,0,9,Corporate Auto,Corporate L2,Offer1,Web,604,SUV,Large
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,69,7,90,0,8,Personal Auto,Personal L3,Offer1,Agent,807,Four-Door Car,Medsize
Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L2,Offer1,Branch,425,Four-Door Car,Medsize
No,Extended,College,Employed,F,88218,Rural,Divorced,99,9,25,0,2,Personal Auto,Personal L3,Offer2,Web,50,Two-Door Car,Large
No,Basic,Master,Employed,M,25180,Urban,Married,70,21,44,0,9,Personal Auto,Personal L2,Offer2,Branch,236,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,48091,Rural,Married,108,30,66,0,9,Personal Auto,Personal L1,Offer1,Branch,132,SUV,Medsize
No,Basic,High School or Below,Employed,M,92539,Rural,Single,100,1,55,0,1,Corporate Auto,Corporate L3,Offer2,Branch,26,SUV,Medsize
No,Basic,Bachelor,Employed,F,40658,Rural,Married,61,24,79,1,1,Personal Auto,Personal L2,Offer3,Call Center,38,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,75453,Rural,Married,112,6,90,0,1,Special Auto,Special L3,Offer2,Web,164,SUV,Medsize
No,Basic,College,Employed,M,94003,Suburban,Single,64,14,39,0,1,Personal Auto,Personal L2,Offer2,Call Center,307,Four-Door Car,Medsize
No,Extended,Master,Employed,M,31737,Suburban,Married,218,17,2,0,3,Personal Auto,Personal L2,Offer1,Agent,1046,Luxury SUV,Medsize
Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L2,Offer1,Branch,425,Four-Door Car,Medsize
No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,71,2,94,1,1,Personal Auto,Personal L2,Offer1,Branch,341,Four-Door Car,Small
No,Premium,College,Unemployed,F,0,Suburban,Single,114,0,75,0,1,Personal Auto,Personal L2,Offer1,Call Center,1344,Four-Door Car,Small
No,Basic,Bachelor,Employed,M,48885,Suburban,Married,190,31,90,0,9,Personal Auto,Personal L3,Offer3,Web,1090,Luxury Car,Medsize
No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,79,14,22,0,2,Corporate Auto,Corporate L3,Offer1,Branch,379,Four-Door Car,Medsize
Yes,Basic,Bachelor,Employed,M,86305,Rural,Married,62,1,99,0,5,Personal Auto,Personal L2,Offer2,Call Center,81,Four-Door Car,Medsize
Yes,Basic,Bachelor,Employed,F,28909,Suburban,Married,66,15,66,0,8,Corporate Auto,Corporate L2,Offer1,Agent,457,Two-Door Car,Medsize
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,123,35,38,1,3,Personal Auto,Personal L3,Offer2,Branch,1088,SUV,Medsize
No,Extended,College,Employed,M,26140,Suburban,Married,84,23,37,1,1,Personal Auto,Personal L3,Offer4,Branch,403,Two-Door Car,Small
Yes,Basic,Bachelor,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Personal Auto,Personal L2,Offer2,Call Center,526,Two-Door Car,Small
No,Basic,Bachelor,Employed,F,31678,Rural,Married,63,7,3,0,1,Personal Auto,Personal L2,Offer2,Branch,77,Two-Door Car,Medsize
No,Basic,Master,Disabled,M,28245,Suburban,Married,62,0,16,0,2,Personal Auto,Personal L3,Offer1,Agent,298,Two-Door Car,Medsize
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,72,0,97,0,2,Personal Auto,Personal L1,Offer2,Web,346,Four-Door Car,Medsize
No,Basic,High School or Below,Medical Leave,F,19168,Suburban,Married,106,12,54,1,2,Personal Auto,Personal L1,Offer1,Branch,509,SUV,Medsize
Yes,Extended,Master,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Personal L1,Offer2,Agent,1295,Luxury SUV,Medsize
No,Basic,College,Employed,F,86481,Urban,Single,65,9,69,0,2,Corporate Auto,Corporate L1,Offer1,Agent,190,Two-Door Car,Small
No,Basic,Doctor,Employed,M,38008,Urban,Divorced,68,12,40,4,2,Personal Auto,Personal L2,Offer2,Agent,322,Four-Door Car,Medsize
No,Basic,College,Employed,M,63032,Suburban,Married,61,5,79,0,1,Personal Auto,Personal L3,Offer2,Agent,405,Four-Door Car,Medsize
No,Extended,College,Employed,F,27228,Rural,Married,129,19,61,4,1,Personal Auto,Personal L3,Offer4,Branch,238,Sports Car,Medsize
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,68,5,4,1,2,Personal Auto,Personal L2,Offer2,Call Center,484,Four-Door Car,Large
No,Basic,Bachelor,Retired,F,13424,Suburban,Divorced,71,30,78,0,1,Personal Auto,Personal L3,Offer3,Call Center,341,Four-Door Car,Medsize
No,Basic,College,Employed,F,59098,Suburban,Divorced,110,31,73,0,3,Personal Auto,Personal L3,Offer2,Agent,666,SUV,Medsize
Yes,Premium,Master,Disabled,F,16181,Suburban,Divorced,181,22,79,0,8,Personal Auto,Personal L2,Offer1,Web,1261,SUV,Medsize
Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L2,Offer2,Agent,178,Sports Car,Medsize
Yes,Basic,College,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Personal L2,Offer1,Agent,302,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,30595,Suburban,Married,69,22,36,0,2,Corporate Auto,Corporate L2,Offer1,Agent,446,Four-Door Car,Medsize
No,Basic,College,Employed,M,88079,Rural,Married,61,16,37,0,3,Personal Auto,Personal L2,Offer2,Agent,122,Two-Door Car,Medsize
No,Basic,Bachelor,Employed,F,99803,Urban,Married,71,1,67,0,2,Personal Auto,Personal L2,Offer2,Call Center,189,Four-Door Car,Small
No,Premium,High School or Below,Unemployed,F,0,Suburban,Married,118,26,43,0,2,Personal Auto,Personal L3,Offer1,Web,1119,Four-Door Car,Large
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,191,27,49,0,3,Personal Auto,Personal L3,Offer1,Agent,1375,Luxury Car,Medsize
No,Basic,College,Employed,F,36283,Urban,Divorced,68,14,63,1,1,Personal Auto,Personal L2,Offer1,Call Center,291,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,F,66991,Urban,Married,115,1,71,0,1,Personal Auto,Personal L3,Offer2,Branch,400,SUV,Medsize
No,Basic,Bachelor,Employed,M,34322,Suburban,Married,70,20,46,2,1,Corporate Auto,Corporate L2,Offer2,Agent,336,Four-Door Car,Medsize
No,Basic,College,Employed,F,44855,Rural,Married,63,3,71,1,1,Personal Auto,Personal L3,Offer2,Branch,104,Four-Door Car,Medsize
No,Premium,Bachelor,Employed,M,97729,Rural,Married,115,4,48,1,7,Personal Auto,Personal L1,Offer3,Branch,221,Four-Door Car,Large
No,Premium,High School or Below,Employed,F,48263,Suburban,Married,104,2,32,0,1,Personal Auto,Personal L3,Offer2,Branch,675,Two-Door Car,Small
No,Extended,Bachelor,Employed,F,68343,Suburban,Single,79,20,78,0,2,Personal Auto,Personal L2,Offer2,Call Center,379,Two-Door Car,Medsize
No,Basic,Master,Employed,M,76847,Rural,Single,118,16,52,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,32,SUV,Medsize
No,Basic,High School or Below,Employed,M,35795,Suburban,Married,65,25,53,0,1,Personal Auto,Personal L3,Offer1,Agent,312,Four-Door Car,Medsize
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,71,1,29,0,2,Personal Auto,Personal L2,Offer1,Call Center,341,Four-Door Car,Large
No,Basic,High School or Below,Employed,F,53074,Urban,Married,61,5,86,0,1,Personal Auto,Personal L2,Offer1,Agent,269,Two-Door Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Single,63,13,48,0,1,Corporate Auto,Corporate L2,Offer3,Web,733,Four-Door Car,Large
No,Basic,Bachelor,Employed,F,28743,Suburban,Single,112,9,13,0,3,Personal Auto,Personal L3,Offer3,Call Center,538,SUV,Medsize
No,Basic,College,Employed,F,81839,Rural,Married,65,23,39,1,4,Personal Auto,Personal L1,Offer1,Agent,75,Four-Door Car,Medsize
Yes,Basic,College,Retired,F,14030,Suburban,Married,72,11,3,0,1,Personal Auto,Personal L2,Offer2,Branch,346,Two-Door Car,Large
No,Basic,College,Employed,F,32764,Suburban,Married,61,30,23,0,1,Personal Auto,Personal L2,Offer4,Web,293,Two-Door Car,Small
No,Extended,Master,Employed,M,74775,Suburban,Divorced,95,18,35,0,1,Personal Auto,Personal L1,Offer2,Web,677,Four-Door Car,Small
No,Premium,Bachelor,Employed,F,53503,Suburban,Single,114,3,43,0,7,Personal Auto,Personal L1,Offer1,Agent,547,Four-Door Car,Medsize
No,Extended,College,Employed,M,34455,Suburban,Married,135,8,69,0,2,Personal Auto,Personal L2,Offer2,Call Center,648,SUV,Medsize
No,Basic,High School or Below,Employed,M,52198,Suburban,Married,74,2,62,0,1,Personal Auto,Personal L3,Offer1,Branch,355,Two-Door Car,Small
No,Extended,College,Employed,F,64429,Rural,Married,133,1,58,2,2,Personal Auto,Personal L3,Offer3,Call Center,222,SUV,Medsize
Yes,Basic,High School or Below,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386,Four-Door Car,Small
No,Basic,Bachelor,Employed,F,30130,Suburban,Married,110,22,12,0,2,Personal Auto,Personal L3,Offer1,Call Center,528,SUV,Small
No,Basic,College,Unemployed,F,0,Rural,Married,65,34,84,0,1,Personal Auto,Personal L3,Offer2,Branch,149,Two-Door Car,Large
No,Premium,High School or Below,Unemployed,M,0,Suburban,Single,275,3,64,1,1,Corporate Auto,Corporate L3,Offer1,Agent,1980,Luxury SUV,Medsize
Yes,Premium,High School or Below,Employed,F,34337,Suburban,Married,113,20,44,0,9,Corporate Auto,Corporate L1,Offer2,Web,542,Four-Door Car,Large
No,Basic,High School or Below,Employed,M,22276,Suburban,Married,111,19,73,1,2,Personal Auto,Personal L2,Offer3,Call Center,783,SUV,Medsize
No,Basic,College,Employed,M,52980,Urban,Married,64,33,93,0,1,Personal Auto,Personal L2,Offer1,Branch,192,Four-Door Car,Large
No,Basic,Bachelor,Employed,F,97736,Rural,Married,74,19,22,0,2,Personal Auto,Personal L2,Offer4,Agent,60,Four-Door Car,Medsize
No,Basic,College,Unemployed,F,0,Urban,Married,67,0,14,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,223,Two-Door Car,Medsize
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,73,18,16,1,2,Corporate Auto,Corporate L1,Offer1,Branch,793,Four-Door Car,Medsize
No,Extended,College,Employed,F,68727,Urban,Married,94,19,76,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,387,Two-Door Car,Large
Yes,Basic,Bachelor,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L3,Offer2,Agent,284,Four-Door Car,Medsize
No,Basic,College,Employed,F,62271,Rural,Married,63,30,52,0,3,Personal Auto,Personal L3,Offer4,Agent,25,Four-Door Car,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,187,1,7,0,2,Personal Auto,Personal L2,Offer1,Agent,1346,Luxury Car,Large
No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,86,12,96,0,8,Corporate Auto,Corporate L3,Offer3,Call Center,413,Four-Door Car,Medsize
Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L3,Offer2,Agent,365,Four-Door Car,Small
No,Basic,College,Employed,M,28506,Suburban,Married,104,27,37,0,1,Personal Auto,Personal L1,Offer2,Agent,499,SUV,Small
No,Extended,High School or Below,Unemployed,F,0,Suburban,Divorced,86,17,35,0,1,Personal Auto,Personal L3,Offer4,Branch,413,Four-Door Car,Small
No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,14,17,0,2,Corporate Auto,Corporate L2,Offer1,Agent,677,Four-Door Car,Medsize
No,Basic,Doctor,Employed,F,94161,Rural,Married,69,0,65,0,4,Personal Auto,Personal L3,Offer2,Agent,109,Four-Door Car,Medsize
No,Basic,College,Employed,M,33345,Suburban,Divorced,102,34,37,0,2,Personal Auto,Personal L3,Offer2,Call Center,694,SUV,Medsize
No,Premium,College,Employed,F,64195,Urban,Divorced,158,0,27,4,6,Personal Auto,Personal L1,Offer1,Branch,618,SUV,Medsize
No,Extended,College,Unemployed,F,0,Suburban,Married,138,1,34,0,2,Corporate Auto,Corporate L2,Offer1,Agent,689,SUV,Small
No,Basic,Bachelor,Employed,F,67414,Rural,Married,68,7,37,0,8,Personal Auto,Personal L1,Offer2,Branch,149,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,33176,Suburban,Married,63,22,75,0,3,Corporate Auto,Corporate L3,Offer3,Branch,302,Four-Door Car,Medsize
Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal Auto,Personal L3,Offer1,Call Center,667,SUV,Medsize
No,Extended,College,Employed,M,56779,Suburban,Divorced,86,21,16,0,3,Corporate Auto,Corporate L1,Offer3,Web,435,Four-Door Car,Medsize
No,Basic,College,Employed,M,40810,Suburban,Married,114,8,14,0,2,Personal Auto,Personal L2,Offer1,Branch,780,SUV,Medsize
No,Basic,High School or Below,Employed,M,30622,Suburban,Married,68,22,86,0,2,Corporate Auto,Corporate L3,Offer1,Agent,326,Four-Door Car,Small
No,Basic,Doctor,Disabled,M,14119,Rural,Married,67,4,53,0,2,Special Auto,Special L1,Offer4,Agent,68,Two-Door Car,Medsize
No,Premium,College,Employed,F,77237,Suburban,Married,283,33,93,0,2,Personal Auto,Personal L1,Offer4,Web,1358,Luxury SUV,Medsize
No,Basic,College,Disabled,F,24980,Suburban,Divorced,71,34,14,0,2,Personal Auto,Personal L3,Offer2,Web,511,Two-Door Car,Medsize
Yes,Extended,High School or Below,Employed,F,66676,Suburban,Married,97,0,40,0,1,Corporate Auto,Corporate L3,Offer3,Agent,558,Four-Door Car,Small
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,69,4,83,1,2,Personal Auto,Personal L3,Offer2,Branch,670,Four-Door Car,Small
No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,69,30,97,0,2,Personal Auto,Personal L3,Offer1,Branch,331,Four-Door Car,Small
No,Extended,Bachelor,Unemployed,F,0,Rural,Married,82,24,21,0,2,Personal Auto,Personal L1,Offer1,Branch,157,Four-Door Car,Medsize
No,Basic,Bachelor,Employed,M,41853,Rural,Single,71,17,51,0,3,Personal Auto,Personal L2,Offer1,Agent,156,Two-Door Car,Medsize
Yes,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424,Four-Door Car,Medsize
No,Basic,Bachelor,Medical Leave,M,22885,Suburban,Married,73,20,46,0,1,Corporate Auto,Corporate L2,Offer2,Web,386,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,32630,Urban,Married,66,26,40,0,3,Personal Auto,Personal L2,Offer1,Call Center,203,Four-Door Car,Medsize
Yes,Extended,College,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L2,Offer1,Branch,413,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,M,75952,Suburban,Married,73,5,17,0,3,Personal Auto,Personal L2,Offer2,Branch,350,Two-Door Car,Medsize
No,Basic,Bachelor,Employed,M,96390,Urban,Married,73,17,47,0,2,Corporate Auto,Corporate L3,Offer4,Agent,317,Two-Door Car,Medsize
No,Basic,College,Employed,F,25680,Urban,Divorced,73,10,93,0,2,Personal Auto,Personal L3,Offer1,Agent,332,Two-Door Car,Medsize
No,Premium,Bachelor,Unemployed,M,0,Suburban,Single,112,17,29,0,7,Personal Auto,Personal L3,Offer1,Call Center,806,Four-Door Car,Medsize
No,Extended,High School or Below,Employed,M,51504,Suburban,Single,220,30,99,0,2,Personal Auto,Personal L3,Offer1,Agent,2552,Luxury SUV,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,74,15,9,3,1,Personal Auto,Personal L1,Offer4,Branch,533,Four-Door Car,Medsize
No,Basic,Master,Employed,F,41456,Urban,Married,73,11,19,0,1,Personal Auto,Personal L2,Offer4,Branch,257,Four-Door Car,Medsize
Yes,Extended,High School or Below,Employed,M,44368,Suburban,Married,80,5,72,0,3,Personal Auto,Personal L2,Offer2,Call Center,384,Two-Door Car,Large
No,Extended,Master,Employed,F,70961,Suburban,Married,85,19,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408,Four-Door Car,Small
Yes,Basic,Doctor,Disabled,F,21986,Suburban,Divorced,63,1,9,0,1,Personal Auto,Personal L3,Offer2,Branch,334,Two-Door Car,Medsize
No,Extended,College,Unemployed,F,0,Suburban,Single,83,14,22,0,1,Corporate Auto,Corporate L2,Offer3,Branch,709,Four-Door Car,Medsize
No,Basic,Master,Employed,F,33514,Urban,Married,105,33,2,0,2,Personal Auto,Personal L2,Offer1,Branch,265,Sports Car,Medsize
No,Extended,College,Employed,F,60230,Rural,Married,98,13,91,0,1,Personal Auto,Personal L2,Offer2,Web,8,Four-Door Car,Small
No,Basic,High School or Below,Unemployed,M,0,Suburban,Married,70,17,47,1,1,Corporate Auto,Corporate L2,Offer2,Agent,494,Four-Door Car,Medsize
No,Basic,College,Employed,M,40818,Suburban,Married,66,6,3,0,6,Personal Auto,Personal L2,Offer4,Call Center,317,Four-Door Car,Medsize
Yes,Basic,College,Employed,M,37937,Suburban,Married,116,11,42,0,5,Personal Auto,Personal L3,Offer2,Call Center,557,SUV,Medsize
No,Extended,College,Employed,F,64571,Suburban,Divorced,89,34,91,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,452,Four-Door Car,Small
No,Extended,Bachelor,Unemployed,M,0,Urban,Married,126,29,61,0,3,Corporate Auto,Corporate L3,Offer1,Branch,422,SUV,Medsize
No,Extended,College,Employed,M,21988,Suburban,Married,209,12,62,0,2,Personal Auto,Personal L3,Offer2,Branch,1003,Luxury Car,Medsize
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,95,12,5,0,1,Corporate Auto,Corporate L3,Offer1,Branch,684,Four-Door Car,Medsize
No,Extended,Bachelor,Employed,M,24672,Suburban,Married,93,9,44,0,9,Personal Auto,Personal L2,Offer4,Branch,670,Two-Door Car,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Divorced,74,26,95,1,1,Corporate Auto,Corporate L1,Offer1,Agent,355,Four-Door Car,Medsize
No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,96,1,79,0,2,Personal Auto,Personal L3,Offer2,Call Center,461,Four-Door Car,Large
No,Basic,Bachelor,Employed,M,72878,Rural,Married,61,0,58,2,2,Corporate Auto,Corporate L3,Offer2,Agent,45,Two-Door Car,Medsize
Yes,Premium,College,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,490,Two-Door Car,Medsize
No,Basic,Bachelor,Employed,M,52278,Urban,Married,73,31,91,0,3,Personal Auto,Personal L2,Offer1,Branch,235,Two-Door Car,Medsize
Yes,Extended,College,Retired,F,12902,Suburban,Divorced,139,3,51,0,1,Personal Auto,Personal L3,Offer1,Agent,667,Sports Car,Medsize
No,Extended,College,Employed,M,99816,Rural,Single,86,0,0,0,1,Corporate Auto,Corporate L2,Offer3,Branch,173,Two-Door Car,Medsize
No,Basic,College,Employed,F,26554,Suburban,Married,68,18,86,1,1,Personal Auto,Personal L2,Offer3,Web,392,Two-Door Car,Small
No,Extended,High School or Below,Employed,M,77485,Urban,Married,77,0,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,356,Four-Door Car,Medsize
No,Basic,College,Employed,M,22537,Suburban,Married,64,24,87,1,2,Corporate Auto,Corporate L3,Offer4,Branch,307,Four-Door Car,Medsize
No,Basic,High School or Below,Employed,F,76522,Suburban,Married,71,31,71,0,6,Personal Auto,Personal L2,Offer2,Branch,341,Four-Door Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Single,64,22,34,3,1,Personal Auto,Personal L3,Offer1,Agent,603,Four-Door Car,Small
Yes,Basic,Master,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Special Auto,Special L1,Offer1,Agent,312,Four-Door Car,Small
No,Premium,High School or Below,Unemployed,M,0,Suburban,Single,115,1,34,0,1,Personal Auto,Personal L1,Offer1,Branch,552,Two-Door Car,Medsize
No,Basic,High School or Below,Employed,M,25506,Suburban,Married,65,10,16,0,1,Personal Auto,Personal L3,Offer3,Branch,312,Two-Door Car,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,110,7,70,0,1,Personal Auto,Personal L2,Offer2,Agent,1265,SUV,Large
No,Extended,College,Unemployed,F,0,Suburban,Single,98,19,17,1,2,Personal Auto,Personal L3,Offer1,Branch,706,Two-Door Car,Small
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,191,22,38,0,1,Personal Auto,Personal L2,Offer3,Web,2043,Luxury Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Married,72,18,91,0,9,Personal Auto,Personal L3,Offer1,Branch,346,Two-Door Car,Medsize
No,Basic,High School or Below,Employed,F,96357,Urban,Married,71,4,69,1,1,Personal Auto,Personal L3,Offer2,Branch,238,Four-Door Car,Medsize
No,Basic,College,Medical Leave,M,16266,Suburban,Married,100,11,23,0,2,Special Auto,Special L1,Offer2,Web,1177,SUV,Medsize
No,Extended,High School or Below,Employed,M,76516,Suburban,Married,95,13,15,0,9,Personal Auto,Personal L1,Offer2,Branch,661,Two-Door Car,Medsize
No,Basic,College,Employed,F,20484,Urban,Married,61,3,89,0,1,Personal Auto,Personal L3,Offer2,Agent,181,Four-Door Car,Medsize
No,Basic,Master,Employed,F,40215,Rural,Divorced,64,11,22,0,3,Personal Auto,Personal L2,Offer3,Branch,98,Four-Door Car,Medsize
No,Extended,Bachelor,Medical Leave,M,22854,Suburban,Married,122,28,53,0,2,Special Auto,Special L2,Offer1,Branch,878,Sports Car,Small
No,Basic,High School or Below,Unemployed,F,0,Rural,Single,118,6,34,1,1,Corporate Auto,Corporate L2,Offer2,Agent,265,SUV,Medsize
No,Premium,High School or Below,Employed,F,55217,Suburban,Married,107,9,9,2,9,Personal Auto,Personal L3,Offer1,Branch,696,Two-Door Car,Medsize
No,Extended,College,Employed,M,76276,Rural,Single,86,24,19,0,2,Corporate Auto,Corporate L3,Offer4,Web,93,Two-Door Car,Large
No,Basic,College,Employed,F,47918,Urban,Married,62,2,51,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,246,Two-Door Car,Medsize
Yes,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,35,52,3,5,Corporate Auto,Corporate L3,Offer1,Web,350,Two-Door Car,Medsize
No,Extended,College,Employed,M,43499,Suburban,Married,80,8,44,0,1,Personal Auto,Personal L2,Offer4,Call Center,529,Four-Door Car,Medsize
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,72,14,58,0,1,Corporate Auto,Corporate L2,Offer4,Web,518,Two-Door Car,Medsize
No,Basic,College,Unemployed,F,0,Suburban,Single,71,11,21,3,2,Personal Auto,Personal L3,Offer4,Call Center,476,Two-Door Car,Medsize
No,Extended,Bachelor,Disabled,M,21497,Suburban,Married,128,31,58,0,1,Personal Auto,Personal L3,Offer3,Call Center,614,Sports Car,Medsize
Yes,Basic,High School or Below,Retired,M,27972,Suburban,Married,61,7,38,0,1,Personal Auto,Personal L3,Offer3,Web,293,Four-Door Car,Medsize
